Protocol,Local Address,Remote Address,Status,PID,Timestamp
N/A,Your System,192.168.152.213,Router IP,N/A,2025-05-12 14:08:15.659829
TCP,192.168.152.152:58048,4.195.15.176:443,ESTABLISHED,12876,2025-05-12 14:08:15.616311
TCP,192.168.152.152:58034,74.125.130.188:443,ESTABLISHED,8896,2025-05-12 14:08:15.616311
TCP,192.168.152.152:58037,20.189.173.8:443,ESTABLISHED,4548,2025-05-12 14:08:15.616311
TCP,192.168.152.152:58039,184.27.197.112:443,ESTABLISHED,12876,2025-05-12 14:08:15.616311
TCP,192.168.152.152:58040,4.224.92.204:443,ESTABLISHED,12876,2025-05-12 14:08:15.616311
TCP,192.168.152.152:58041,4.224.92.204:443,ESTABLISHED,12876,2025-05-12 14:08:15.616311
TCP,192.168.152.152:58042,52.113.194.132:443,FIN_WAIT_2,12876,2025-05-12 14:08:15.616311
TCP,192.168.152.152:58043,52.113.194.132:443,FIN_WAIT_2,12876,2025-05-12 14:08:15.616311
TCP,192.168.152.152:58044,20.3.187.198:443,ESTABLISHED,9688,2025-05-12 14:08:15.616311
TCP,192.168.152.152:58045,4.195.15.176:443,ESTABLISHED,12876,2025-05-12 14:08:15.616311
TCP,192.168.152.152:58047,52.113.194.132:443,ESTABLISHED,12876,2025-05-12 14:08:15.616311
TCP,[::]:135,[::]:0,LISTENING,1488,2025-05-12 14:08:15.616311
TCP,192.168.152.152:58028,49.44.178.155:443,ESTABLISHED,8136,2025-05-12 14:08:15.616311
TCP,[::]:445,[::]:0,LISTENING,4,2025-05-12 14:08:15.616311
TCP,[::]:3306,[::]:0,LISTENING,9616,2025-05-12 14:08:15.616311
TCP,[::]:7680,[::]:0,LISTENING,10900,2025-05-12 14:08:15.616311
TCP,[::]:33060,[::]:0,LISTENING,9616,2025-05-12 14:08:15.616311
TCP,[::]:49664,[::]:0,LISTENING,1224,2025-05-12 14:08:15.616311
TCP,[::]:49665,[::]:0,LISTENING,1048,2025-05-12 14:08:15.616311
TCP,[::]:49666,[::]:0,LISTENING,2136,2025-05-12 14:08:15.616311
TCP,[::]:49667,[::]:0,LISTENING,3276,2025-05-12 14:08:15.616311
TCP,[::]:49668,[::]:0,LISTENING,6836,2025-05-12 14:08:15.616311
TCP,[::]:49669,[::]:0,LISTENING,1172,2025-05-12 14:08:15.616311
TCP,192.168.152.152:58031,4.195.15.176:443,FIN_WAIT_1,12876,2025-05-12 14:08:15.616311
Proto,Local,Address,Foreign,Address,2025-05-12 14:08:15.616311
TCP,0.0.0.0:135,0.0.0.0:0,LISTENING,1488,2025-05-12 14:08:15.616311
TCP,0.0.0.0:49669,0.0.0.0:0,LISTENING,1172,2025-05-12 14:08:15.616311
TCP,0.0.0.0:445,0.0.0.0:0,LISTENING,4,2025-05-12 14:08:15.616311
TCP,0.0.0.0:3306,0.0.0.0:0,LISTENING,9616,2025-05-12 14:08:15.616311
TCP,0.0.0.0:5040,0.0.0.0:0,LISTENING,6336,2025-05-12 14:08:15.616311
TCP,0.0.0.0:7680,0.0.0.0:0,LISTENING,10900,2025-05-12 14:08:15.616311
TCP,0.0.0.0:33060,0.0.0.0:0,LISTENING,9616,2025-05-12 14:08:15.616311
TCP,0.0.0.0:49664,0.0.0.0:0,LISTENING,1224,2025-05-12 14:08:15.616311
TCP,0.0.0.0:49665,0.0.0.0:0,LISTENING,1048,2025-05-12 14:08:15.616311
TCP,0.0.0.0:49666,0.0.0.0:0,LISTENING,2136,2025-05-12 14:08:15.616311
TCP,0.0.0.0:49667,0.0.0.0:0,LISTENING,3276,2025-05-12 14:08:15.616311
TCP,0.0.0.0:49668,0.0.0.0:0,LISTENING,6836,2025-05-12 14:08:15.616311
TCP,127.0.0.1:49673,127.0.0.1:49674,ESTABLISHED,9616,2025-05-12 14:08:15.616311
TCP,192.168.152.152:58023,13.107.3.128:443,FIN_WAIT_1,12876,2025-05-12 14:08:15.616311
TCP,127.0.0.1:49674,127.0.0.1:49673,ESTABLISHED,9616,2025-05-12 14:08:15.616311
TCP,127.0.0.1:49675,127.0.0.1:49676,ESTABLISHED,9616,2025-05-12 14:08:15.616311
TCP,127.0.0.1:49676,127.0.0.1:49675,ESTABLISHED,9616,2025-05-12 14:08:15.616311
TCP,192.168.152.152:139,0.0.0.0:0,LISTENING,4,2025-05-12 14:08:15.616311
TCP,192.168.152.152:11034,184.27.197.49:80,ESTABLISHED,3796,2025-05-12 14:08:15.616311
TCP,192.168.152.152:11035,4.213.25.240:443,ESTABLISHED,4548,2025-05-12 14:08:15.616311
TCP,192.168.152.152:11055,4.195.15.176:443,ESTABLISHED,12876,2025-05-12 14:08:15.616311
TCP,192.168.152.152:49423,4.213.25.240:443,FIN_WAIT_1,7356,2025-05-12 14:08:15.616311
TCP,192.168.152.152:49424,4.213.25.240:443,ESTABLISHED,7356,2025-05-12 14:08:15.616311
TCP,192.168.152.152:58014,20.189.173.17:443,FIN_WAIT_1,3640,2025-05-12 14:08:15.616311
TCP,192.168.152.152:58024,52.123.170.115:443,FIN_WAIT_1,12876,2025-05-12 14:08:15.616311
